コントロールカラム,商品管理番号（商品URL）,商品名,表示先カテゴリ,優先度,URL,1ページ複数形式
"","trsp-mu_up","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム（セミダブル）<br>【True Sleeper】【マットレス】【低反発マットレス】【ショップジャパン（SHOPJAPAN）】","その他","161100002","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsp-o3-fu","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>トゥルースリーパー プレミアム オリジナルカバー3色セット シングル【複数購入用】【送料無料】","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsp-q","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム（クイーン）<br>【送料無料！】<br>【True Sleeper】【マットレス】【低反発マットレス】【ショップジャパン（SHOPJAPAN）】","SALE＆キャンペーン\楽天ポイント企画エントリーページ","161100004","http://item.rakuten.co.jp/shopjapan/c/0000000596/",""
"","trsp-q","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム（クイーン）<br>【送料無料！】<br>【True Sleeper】【マットレス】【低反発マットレス】【ショップジャパン（SHOPJAPAN）】","寝具\トゥルースリーパー プレミアム","161100004","http://item.rakuten.co.jp/shopjapan/c/0000000742/",""
"","trsp-q","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム（クイーン）<br>【送料無料！】<br>【True Sleeper】【マットレス】【低反発マットレス】【ショップジャパン（SHOPJAPAN）】","寝具\トゥルースリーパー 商品ラインナップ","161100004","http://item.rakuten.co.jp/shopjapan/c/0000000425/",""
"","trsp-qs","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム<br>シングルもう１枚セット（クイーン＋シングル）<br>【送料無料＆低反発まくら付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】","寝具\トゥルースリーパー プレミアム","161100016","http://item.rakuten.co.jp/shopjapan/c/0000000742/",""
"","trsp-qs","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム<br>シングルもう１枚セット（クイーン＋シングル）<br>【送料無料＆低反発まくら付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】","寝具\トゥルースリーパー 商品ラインナップ","161100016","http://item.rakuten.co.jp/shopjapan/c/0000000425/",""
"","trsp-qu","【正規品】トゥルースリーパー プレミアケア（クイーン）<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","SALE＆キャンペーン\楽天ポイント企画エントリーページ","161100004","http://item.rakuten.co.jp/shopjapan/c/0000000596/",""
"","trsp-qu","【正規品】トゥルースリーパー プレミアケア（クイーン）<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","寝具\公式/トゥルースリーパー プレミアケア 楽天ポイント貯まる！","161100004","http://item.rakuten.co.jp/shopjapan/c/0000000105/",""
"","trsp-qu","【正規品】トゥルースリーパー プレミアケア（クイーン）<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","寝具\トゥルースリーパー 商品ラインナップ","161100004","http://item.rakuten.co.jp/shopjapan/c/0000000425/",""
"","trsp-qu-fu","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>トゥルースリーパー プレミアム クイーン【複数購入用】【送料無料】","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsp-qu-kaiteki","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>《ご購入者様限定★20％OFF》<br>トゥルースリーパー プレミアム（クイーン）<br>","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsp-qu-non","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパープレミアム 敷いたろうスペシャルセット（クイーン）<br>【低反発マットレス】【トゥルースリーパープレミアム】【ショップジャパン（SHOPJAPAN）】<br>","寝具\【テスト】トゥルースリーパー プレミアム","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000646/",""
"","trsp-qu_ad","【正規品】トゥルースリーパー プレミアケア（クイーン）<br>【送料無料】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","その他","161100004","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsp-qu_gendama","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム（クイーン）<br>2大特典付でもお値段そのまま！<br>送料無料★さらにリラックスCD付き！<br>【低反発マットレス】【ショップジャパン】【gen】","その他","999999994","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsp-qu_m","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム（クイーン）【複数購入用】【送料無料】","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsp-qu_up","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム（クイーン）<br>【True Sleeper】【マットレス】【低反発マットレス】【ショップジャパン（SHOPJAPAN）】","その他","161100004","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsp-qwc2","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム<br>クイーン+オリジナルカバー2枚セット<br>【送料無料！】<br>【True Sleeper】【マットレス】【低反発マットレス】","お知らせ\あす楽について","161200004","http://item.rakuten.co.jp/shopjapan/c/0000000655/",""
"","trsp-qwc2","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム<br>クイーン+オリジナルカバー2枚セット<br>【送料無料！】<br>【True Sleeper】【マットレス】【低反発マットレス】","寝具\トゥルースリーパー プレミアム","161200004","http://item.rakuten.co.jp/shopjapan/c/0000000742/",""
"","trsp-qwc2","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム<br>クイーン+オリジナルカバー2枚セット<br>【送料無料！】<br>【True Sleeper】【マットレス】【低反発マットレス】","寝具\トゥルースリーパー 商品ラインナップ","161200004","http://item.rakuten.co.jp/shopjapan/c/0000000425/",""
