項目選択肢用コントロールカラム,商品管理番号（商品URL）,選択肢タイプ,Select/Checkbox用項目名,Select/Checkbox用選択肢,項目選択肢別在庫用横軸選択肢,項目選択肢別在庫用横軸選択肢子番号,項目選択肢別在庫用縦軸選択肢,項目選択肢別在庫用縦軸選択肢子番号,項目選択肢別在庫用取り寄せ可能表示,項目選択肢別在庫用在庫数,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号,タグID,画像URL
"","wdt_1011m","s","レビューを書いてクーポンGET"," レビューを書く","","","","","","","","","","","",""
"","wdt_1011m","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","wdt_ad","i","","","カラーをお選び下さい","","アクアブルー","WDT-NBX0","0","500","1","0","26","","",""
"","wdt_ad","i","","","カラーをお選び下さい","","チェリーピンク","WDT-NPX0","0","500","1","0","27","","",""
"","wdt_ad","i","","","カラーをお選び下さい","","ブラウン","WDT-NCX0","0","500","1","0","27","","",""
"","wdt_ad","i","","","カラーをお選び下さい","","ライムグリーン","WDT-NGX0","0","500","1","0","27","","",""
"","crf-3d02","s","レビュー記載のお約束で","送料無料","","","","","","","","","","","",""
"","dsn_out","i","","","サイズお選びください。","","Tシャツ（グレー）Lサイズ","FK-DSNOL","0","38","1","0","7","","",""
"","dsn_out","i","","","サイズお選びください。","","Tシャツ（グレー）Mサイズ","FK-DSNOM","0","37","1","0","7","","",""
"","lef","i","","","性別×サイズ×カラー","","メンズ/ブラック/S","LEF-MBS1","0","0","1","0","","","",""
"","lef","i","","","性別×サイズ×カラー","","メンズ/ブラック/M","LEF-MBM1","0","0","1","0","","","",""
"","lef","i","","","性別×サイズ×カラー","","メンズ/ブラック/L","LEF-MBL1","0","0","1","0","","","",""
"","lef","i","","","性別×サイズ×カラー","","メンズ/ダークブラウン/S","LEF-MCS1","0","0","1","0","","","",""
"","lef","i","","","性別×サイズ×カラー","","メンズ/ダークブラウン/M","LEF-MCM1","0","0","1","0","","","",""
"","lef","i","","","性別×サイズ×カラー","","メンズ/ダークブラウン/L","LEF-MCL1","0","0","1","0","","","",""
"","lef","i","","","性別×サイズ×カラー","","レディース/ブラック/S","LEF-FBS1","0","0","1","0","","","",""
"","lef","i","","","性別×サイズ×カラー","","レディース/ブラック/M","LEF-FBM1","0","0","1","0","","","",""
"","lef","i","","","性別×サイズ×カラー","","レディース/ブラック/L","LEF-FBL1","0","1","1","0","","","",""
"","lef","i","","","性別×サイズ×カラー","","レディース/ブラック/LL","LEFFBLL1","0","0","1","0","","","",""
"","lef","i","","","性別×サイズ×カラー","","レディース/ダークブラウン/S","LEF-FCS1","0","0","1","0","","","",""
"","lef","i","","","性別×サイズ×カラー","","レディース/ダークブラウン/M","LEF-FCM1","0","0","1","0","","","",""
"","lef","i","","","性別×サイズ×カラー","","レディース/ダークブラウン/L","LEF-FCL1","0","0","1","0","","","",""
"","lef","i","","","性別×サイズ×カラー","","レディース/ダークブラウン/LL","LEFFCLL1","0","0","1","0","","","",""
"","lgmc-kk","i","",""," ","","ピュアホワイト","LGMCJ0XW","0","99999998","1","0","3","","",""
"","lgmc-kk","i","",""," ","","マットブラック","LGMCJ0XB","0","99999995","1","0","3","","",""
"","lgmc-kk","i","",""," ","","パールピンク","LGMCR0XP","0","999999997","1","0","3","","",""
"","lgmc-kk","i","",""," ","","ミントグリーン","LGMCJ0XG","0","499","1","0","3","","",""
"","lgmc-mrn","i","",""," ","","ピュアホワイト","LGMCJ0XW","0","99999996","1","0","3","","",""
"","lgmc-mrn","i","",""," ","","マットブラック","LGMCJ0XB","0","99999997","1","0","3","","",""
"","lgmc-mrn","i","",""," ","","パールピンク","LGMCR0XP","0","99999996","1","0","3","","",""
"","lgmc_rtv","i","",""," ","","ピュアホワイト","LGMCNVXW","0","999999990","1","0","3","","",""
"","lgmc_rtv","i","",""," ","","マットブラック","LGMCNVXB","0","999999996","1","0","3","","",""
"","lgmc_rtv","i","",""," ","","パールピンク","LGMCNVXP","0","999999994","1","0","3","","",""
"","lgmx-ets-test","i","",""," ","","パープル","LGMXMAVG","0","1","1","0","3","","",""
"","lgmx-ets-test","i","",""," ","","ピンク","LGMXMAMG","0","1","1","0","3","","",""
"","lgmx-ets-test","i","",""," ","","ホワイト","LGMXMAJG","0","1","1","0","3","","",""
"","lgmx-ex-test","i","",""," ","","パープル","LGMXMAXV","0","1","1","0","27","","",""
"","lgmx-ex-test","i","",""," ","","ピンク","LGMXMAXM","0","1","1","0","3","","",""
"","lgmx-ex-test","i","",""," ","","ホワイト","LGMXMAXJ","0","1","1","0","3","","",""
"","mgt-egls","i","",""," ","","ブラック","MGT-NS0B","0","999999981","1","0","3","","",""
"","mgt-egls","i","",""," ","","ピンク","MGT-NS0P","0","999999996","1","0","3","","",""
"","mgt-egls","i","",""," ","","ベージュ","MGT-NS0Y","0","999999994","1","0","3","","",""
"","mgt_ma1","s","▼この商品は新品同様となります","確認しました","","","","","","","","","","","",""
"","mgt_ma1","s","▼この商品は39日返品対象外です","確認しました","","","","","","","","","","","",""
"","mgt_ma1","s","▼この商品は1年保証対象外です","確認しました","","","","","","","","","","","",""
"","mop-10401","i","",""," ","","パープル","MOP-CPNV","0","1","1","0","3","","",""
"","mop-10401","i","",""," ","","ピンク","MOP-CPNP","0","1","1","0","3","","",""
"","mop-10401","i","",""," ","","ホワイト","MOP-CPNW","0","1","1","0","3","","",""
"","mop-3stest","i","",""," ","","パープル","MOP-PNVC","0","1","1","0","3","","",""
"","mop-3stest","i","",""," ","","ピンク","MOP-PNPC","0","1","1","0","3","","",""
"","mop-3stest","i","",""," ","","ホワイト","MOP-PNWC","0","1","1","0","3","","",""
"","ngw_1712_a","i","","","カラーをお選びください","","本体色：ピンク","RAK-NGWP","0","24","1","0","27","","",""
"","ngw_1712_a","i","","","カラーをお選びください","","本体色：ブラウン","RAK-NGWB","0","12","1","0","27","","",""
"","ngw_mb1","i","","","カラーをお選び下さい","","ピンク","USNGW2BP","0","25","1","0","27","","",""
"","ngw_mb1","i","","","カラーをお選び下さい","","ブラウン","USNGW2BB","0","25","1","0","27","","",""
"","ngw_mb1","s","▼この商品は特価良品となります","確認しました","","","","","","","","","","","",""
"","ngw_mb1","s","▼この商品は39日返品対象外です","確認しました","","","","","","","","","","","",""
"","ngw_mb1","s","▼この商品は1年保証対象外です","確認しました","","","","","","","","","","","",""
"","ngw_out17_b","i","","","カラーを選択してください","","ピンク","FK-NGWPX","0","5","1","0","","","",""
"","ngw_out17_b","i","","","カラーを選択してください","","ブラウン","FK-NGWBX","0","5","1","0","","","",""
"","ngw_red","s","レビューを書いてクーポンGET"," レビューを書く","","","","","","","","","","","",""
"","ngw_red","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","nue-an","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","nue-an","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","nue-an_test","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","nue-an_test","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","nue-sp-w","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","nue-sp-w","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","sale_1703_wds01","i","",""," ","","ライムグリーン","WDSNGSS3","0","16","1","0","","","",""
"","sale_1703_wds01","i","",""," ","","トパーズブルー","WDSBTSS3","0","7","1","0","","","",""
"","sale_1703_wds06","i","",""," ","","ライムグリーン","WDSNGSS3","0","17","1","0","","","",""
"","sale_1703_wds06","i","",""," ","","トパーズブルー","WDSBTSS3","0","9","1","0","","","",""
"","sale_lgmc-total","i","",""," ","","ピュアホワイト","LGMCWS35","0","200","1","0","","","",""
"","sale_lgmc-total","i","",""," ","","マットブラック","LGMCBS35","0","200","1","0","27","","",""
"","sale_lgmc-total_m","i","",""," ","","ピュアホワイト","LGMCWS33","0","1","1","0","","","",""
"","sale_lgmc-total_m","i","",""," ","","マットブラック","LGMCBS33","0","1","1","0","27","","",""
"","sale_wds_pers-ss","i","",""," ","","全身引き締めDVD","WDS-NPHS","0","5","1","0","3","","",""
"","sale_wds_pers-ss","i","",""," ","","ピラティスDVD","WDS-NPPS","0","5","1","0","3","","",""
"","sim_1712_c","s","▼この商品は中古の特価良品となります","確認しました","","","","","","","","","","","",""
"","sim_1712_c","s","▼この商品は39日返品対象外です","確認しました","","","","","","","","","","","",""
"","sim_1712_c","s","▼この商品は1年保証対象外です","確認しました","","","","","","","","","","","",""
"","sim_1712_t","s","▼この商品は中古品となります","確認しました","","","","","","","","","","","",""
"","sim_1712_t","s","▼この商品は39日返品対象外です","確認しました","","","","","","","","","","","",""
"","sim_1712_t","s","▼この商品は1年保証対象外です","確認しました","","","","","","","","","","","",""
"","st-r0amr","i","",""," ","","男性用","ST-R0AMR","0","1","1","0","3","","",""
"","st-r0amr","i","",""," ","","女性用","ST-R0ARR","0","1","1","0","3","","",""
"","ste-mrn","i","",""," ","","男性用","ST-R0MAT","0","99999983","1","0","3","","",""
"","ste-mrn","i","",""," ","","女性用","ST-R0FAT","0","99999997","1","0","3","","",""
"","swcf_wk_ad","i","","","カラーをお選びください","","レッド","FK-SWCRX","0","100","1","0","27","","",""
"","swcf_wk_ad","i","","","カラーをお選びください","","シルバー","FK-SWCSX","0","100","1","0","27","","",""
"","swcf_wk_ad","i","","","カラーをお選びください","","ネイビー","FK-SWCNX","0","100","1","0","27","","",""
"","tpbi_1712_t","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","tpoi_1712_t","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trbp_1712_t","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trf-mrn","i","",""," ","","1stエディション","TRF-AXXX","0","99999991","1","0","3","","",""
"","trf-mrn","i","",""," ","","2ndエディション","TRF-A2XX","0","99999995","1","0","3","","",""
"","trf2_1712_t","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trpi_1712_t","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trs_pere_kfk_si","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trs_pere_ok_qg","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trs_pere_ok_sg","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trs_pere_ok_si","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trs_pere_ok_wi","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trs_pere_pk_g","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trs_pk_bard","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trs_pk_bota","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trs_pk_mf","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trs_w_kfk_sg","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trs_w_ok_mr","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trs_w_ok_qr","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trs_w_ok_wg","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
"","trsp_ocm","i","","","カラーをお選びください","","アイボリー","TRSPSUMI","0","99995","0","0","27","","",""
"","trsp_ocm","i","","","カラーをお選びください","","ピンク","TRSPSUMP","0","99998","0","0","27","","",""
"","trsp_ocm","i","","","カラーをお選びください","","ブルー","TRSPSUMB","0","99998","0","0","27","","",""
"","trsp_ocq","i","","","カラーをお選びください","","アイボリー","TRSPSUQI","0","99997","0","0","27","","",""
"","trsp_ocq","i","","","カラーをお選びください","","ピンク","TRSPSUQP","0","99998","0","0","27","","",""
"","trsp_ocq","i","","","カラーをお選びください","","ブルー","TRSPSUQB","0","99998","0","0","27","","",""
"","wdc-six","i","",""," "," ","オレンジ","WDC-N6P5","0","0","1","0","27","","",""
"","wdc-six","i","",""," "," ","ブルー","WDC-N6B5","0","0","1","0","27","","",""
"","wdc-six","i","",""," "," ","レッド","WDC-N6R5","0","0","1","0","27","","",""
"","wdc_gendama","s","納期遅延中を","予めご了承ください","","","","","","","","","","","",""
"","wdc_gendama","s","商品のお届けは","ご注文後、約3週間","","","","","","","","","","","",""
"","wdc_rtv","s","商品のお届けは","ご注文後、約3週間","","","","","","","","","","","",""
"","wdc_rtv","s","納期遅延中を","予めご了承ください","","","","","","","","","","","",""
"","wds-ndar","i","",""," "," ","ライムグリーン","WDS-NDAR","0","0","1","0","27","","",""
"","wds-ndar","i","",""," "," ","ライトグリーン","WDS-LGSS","0","0","1","0","27","","",""
"","wds2","i","","","カラーをお選びください","","ライムグリーン","WDS-NDAR","0","99999998","1","0","26","","",""
"","wds2","i","","","カラーをお選びください","","アクアブルー","WDS-ABXA","0","99999999","1","0","26","","",""
"","wds2","i","","","カラーをお選びください","","チェリーピンク","WDS-NBPA","0","99999998","1","0","26","","",""
"","wds_1712_a","i","","","カラーを選択してください","","チェリーピンク","RAK-WDSP","0","0","1","0","27","","",""
"","wds_1712_a","i","","","カラーを選択してください","","ライムグリーン","RAK-WDSG","0","16","1","0","27","","",""
"","wds_30m","i","","","カラーをお選びください","","レッド","WDSNXD30","0","0","1","0","27","","",""
"","wds_30m","i","","","カラーをお選びください","","ライムグリーン","WDSNXG30","0","0","1","0","27","","",""
"","wds_30m","s","レビューを書いてクーポンGET"," レビューを書く","","","","","","","","","","","",""
"","wds_30m","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","wds_c","i","","","カラーをお選びください","","チェリーピンク","WDSNXP9A","0","99998","1","0","3","","",""
"","wds_c","i","","","カラーをお選びください","","アクアブルー","WDSNXB9A","0","0","1","0","3","","",""
"","wds_c","i","","","カラーをお選びください","","ライムグリーン","WDSNXG9A","0","99998","1","0","3","","",""
"","wds_c","i","","","カラーをお選びください","","ルビーレッド","WDSNXR9A","0","99997","1","0","3","","",""
"","wds_c","i","","","カラーをお選びください","","ライムグリーン×ホワイト","WDSNXW9A","0","99998","1","0","3","","",""
"","wds_c","s","ワンダーコアスマートは人気商品の為、","お届けにお時間を頂いております。","","","","","","","","","","","",""
"","wds_ltv","i","","","カラーを選択してください","","ライムグリーン","WDSNXG9A","0","99999","1","0","26","","",""
"","wds_ltv","i","","","カラーを選択してください","","レッド","WDSNXD9A","0","99999","1","0","26","","",""
"","wds_m_out","i","","","カラーをお選びください","","ライムグリーン","WDSNGM0W","0","999999680","1","0","27","","",""
"","wds_m_out","i","","","カラーをお選びください","","チェリーピンク","WDSNPM0W","0","999999892","1","0","27","","",""
"","wds_m_out","i","","","カラーをお選びください","","アクアブルー","WDSNBM0W","0","999999800","1","0","27","","",""
"","wds_ma1","s","▼この商品は特価良品となります","確認しました","","","","","","","","","","","",""
"","wds_ma1","s","▼この商品は39日返品対象外です","確認しました","","","","","","","","","","","",""
"","wds_ma1","s","▼この商品は1年保証対象外です","確認しました","","","","","","","","","","","",""
"","wds_matset_so","i","","","カラーをお選びください","","ライムグリーン","WDSNMG9A","0","99998","1","0","9","","",""
"","wds_matset_so","i","","","カラーをお選びください","","アクアブルー","WDSNMB9A","0","99999","1","0","9","","",""
"","wds_matset_so","i","","","カラーをお選びください","","チェリーピンク","WDSNMP9A","0","99999","1","0","9","","",""
"","wds_matset_so","s","ワンダーコアスマートは人気商品の為、","お届けにお時間を頂いております。","","","","","","","","","","","",""
"","wds_matset_try1","i","","","カラーをお選びください","","レッド","WDSNMR9A","0","99998","1","0","26","","",""
"","wds_matset_try1","i","","","カラーをお選びください","","ライムグリーン","WDSNMG9A","0","99999","1","0","26","","",""
"","wds_matset_try1","i","","","カラーをお選びください","","アクアブルー","WDSNMB9A","0","0","1","0","26","","",""
"","wds_matset_try1","i","","","カラーをお選びください","","チェリーピンク","WDSNMP9A","0","99999","1","0","26","","",""
"","wds_matset_try1","i","","","カラーをお選びください","","ライムグリーン×ホワイト","WDSNMW9A","0","99999","1","0","26","","",""
"","wds_matset_try2","i","","","カラーをお選びください","","レッド","WDSNMR9A","0","5","1","0","26","","",""
"","wds_matset_try2","i","","","カラーをお選びください","","ライムグリーン","WDSNMG9A","0","5","1","0","26","","",""
"","wds_matset_try2","i","","","カラーをお選びください","","アクアブルー","WDSNMB9A","0","0","1","0","26","","",""
"","wds_matset_try2","i","","","カラーをお選びください","","チェリーピンク","WDSNMP9A","0","5","1","0","26","","",""
"","wds_matset_try2","i","","","カラーをお選びください","","ライムグリーン×ホワイト","WDSNMW9A","0","5","1","0","26","","",""
"","wds_pers-ss","i","",""," ","","全身引き締めDVD","WDS-NPHS","0","5","1","0","","","",""
"","wds_pers-ss","i","",""," ","","ピラティスDVD","WDS-NPPS","0","5","1","0","","","",""
"","zbz0_1712_t","s","▼この商品は処分品となります","確認しました","","","","","","","","","","","",""
