コントロールカラム,商品管理番号（商品URL）,商品番号,全商品ディレクトリID,在庫数
"","hd-j4s4w","HI-N5H5Q","111908","99982"
"","hd-j4s4w-test","HA-J5S5O","111908","99999"
"","hd30_1612","HI12SS30","111908","1"
"","hdi-1204","HI-W5J5G","214729","0"
"","hdi-15_out","HDI15SAL","214729","14"
"","hdi-30","HI-W1J1Z","214729","0"
"","hdi-30_out","HDI30SAL","214729","0"
"","hdi-5_out","HDI05SAL","214729","41"
"","hdp-120m","HDP-120M","111908","99998"
"","hdp-24m","HDP-24-M","111908","99996"
"","hdp-30ax","HDP-30XX","111908","99996"
"","hdp-48m","HDP-48-M","111908","99997"
"","hdp-72m","HDP-72-M","111908","99995"
"","hdp_bh17","FK-PASTA","111908","14"
"","hdp_out17","FK-PASTA","111908","94"
"","hdr"," ","214729",""
"","hdr-mt2x","HI-W2J2Z","214729","0"
"","hdr-mt2x-test","HDR-MT2G","214729","99999"
"","hdr-mt5x","HI-W5J5Z","214729","0"
"","hdr-mt5x-test","HDR-MT6G","214729","99999"
"","hdr-p3dx","HDR-P5NN","214729","0"
"","hdr-p3dx-ss2","HDR-RGSS","214729","0"
"","hdr-p5dt","HDR-P5DT","214729","99999"
"","hdr-p9bf"," ","204662",""
"","hdst-shake","","111908",""
"","hep","HEP-AAWX","111908","0"
"","hi-n1","","111908",""
"","hi-n1h1s","HI-N1H1S","111908","0"
"","hi-n2","","111908",""
"","hi-n2h2s","HI-N2H2S","111908","0"
"","hi-n3","","111908",""
"","hi-n3h3s","HI-N3H3S","111908","0"
"","hi-n5","","111908",""
"","hi-n5h5s","HI-N5H5S","111908","0"
"","hki-hfn-","HKI-HFN-","101887","99999"
"","hlv-ncvx","HLV-30SM","101312","99898"
"","hpi30","HI-N1H1P","111908","99798"
"","hpj-3rak","HPJ-3RAK","112897","0"
"","hpj-l15a","HPJ-L15A","111908","0"
"","hpj-p5nx","HPJ-P5NX","111908","99999"
"","hpj-r","HPI-15RR","214753","99999"
"","hpt-raaa","HPT-RAAA","214753","0"
"","hr-fkr07","HI-W3J3Z","214729","0"
"","hr-fkr07-test","HDR-MT4G","214729","99999"
"","icm-mail","ICMBGA50","401500","0"
"","icm-n2xx","ICM-BGAA","401500","0"
"","icm-tan","","401500",""
"","imb_stp","STP02ARF","204692","50"
"","ist-atxx","IST-32X0","562667","99999"
"","ist-djtx","IST-8980","562667","99997"
"","ist-dktx","IST-9980","562667","99979"
"","ist-dltx","IST11980","562667","99982"
"","ist-dmtx","IST-DMTX","562667","99999"
"","ist-dntx","IST-DNTX","562667","99999"
"","ist-dotx","IST-DOTX","562667","99999"
"","ist-dzbx","IST13980","562667","99999"
"","ist-dzdx","IST15480","562667","99996"
"","ist-dztx","IST13180","562667","99999"
"","ist-wake1710","ISTSPOTR","562667","85"
"","ist_1219","RAK-ISTS","562667","303"
"","ist_1219a","RAK-ISTS","562667","308"
"","ist_bh17","FK-ISTSN","562667","20"
"","ist_out17","FK-ISTTI","562667","75"
"","jrj-hfxn","JRJ-HFXN","101887","0"
"","khtn_ma1","USTRSAFP","508183","19"
"","kks-3set","KKS-3SET","210677","99996"
"","kln","KLN-HBSR","101765","99996"
"","kln_1712_t","RAK-KLN0","101765","87"
"","ksj","KSJ-NXX1","563337","99999"
"","ksj-set1","KSJ-NXW1","563337","99999"
"","ktl_1219","RAK-KTLW","562661","438"
"","ktl_1219a","RAK-KTLW","562661","439"
"","kts-xxx","KTS-XXXX","403725","0"
"","lef","","558906",""
"","lgmc"," ","302623",""
"","lgmc-dv0","LGMC-DV0","401612","99999"
"","lgmc-gen","","302623",""
"","lgmc-kk","","302623",""
"","lgmc-mat","LGMC-MA0","100985","0"
"","lgmc-mnx"," ","302623",""
"","lgmc-mrn","","302623",""
"","lgmc-outlet","","100985",""
"","lgmc-ssmat","","302623","1"
"","lgmc-total","","302623",""
"","lgmc_1219","RAK-LGMC","302623","95"
"","lgmc_1219a","RAK-LGMC","302623","122"
"","lgmc_1612","","302623",""
"","lgmc_bh17","FK-NLGCS","302623","35"
"","lgmc_out17","FK-NLGMS","302623","40"
"","lgmc_out17_b","FK-LGMCX","302623","0"
"","lgmc_rtv","","302623",""
"","lgmcdvdx","LGMC-DV0","100985","99991"
"","lgmp","","100985",""
"","lgmp-bae","LGMPBAEX","100985","99992"
"","lgmp-ban1","LGMPBA1X","100985","99998"
"","lgmp-ban2","LGMPBA2X","100985","99984"
"","lgmp-ban3","LGMPBA3X","100985","99977"
"","lgms","LGMC-SNW","302623","0"
"","lgms-mat","LGMS-MAT","100985","0"
"","lgms-yyk","LGMC-SNW","302623","99999"
"","lgmx-bks","LGMX-BKS","401612","0"
"","lgmx-dvd","LGMX-DV0","100985","99983"
"","lgmx-egls","LGMXRAES","100985","5"
"","lgmx-egls2","","100985",""
"","lgmx-egls3","","100985",""
"","lgmx-ets","LGMXMAVG","100985","0"
"","lgmx-ets-test","","100985",""
"","lgmx-ex","LGMXMAXV","100985","99506"
"","lgmx-ex-test","","100985",""
"","lgmx-outlet","","100985",""
"","lgmxpadm","LGMXPADM","401612","99998"
"","lti","LTI-NNET","101379","99998"
"","lti1214","LTI-NSSX","101379","0"
"","lti_out17","FK-LTIX1","101379","20"
"","lti_out17_b","FK-LTIXX","101379","0"
"","mbl-nctb","MBL-NCTB","215951","0"
"","mbl-ndxx","MBL-NDXX","401407","0"
"","mbl-nwbn","MBL-NWBN","565045","0"
"","mgo-hfxn","MGO-RASM","402546","99999"
"","mgo-ramm","MGO-RAMM","402546","99999"
"","mgt-101","MGT-101","212401","99874"
"","mgt-bc","MGT-BSIC","212401","0"
"","mgt-blt","MGT-BLT","100204","99575"
"","mgt-cb2p","MGT-CB2P","401612","0"
"","mgt-egls","","212401",""
"","mgt-egls2","","212401",""
"","mgt-fb2p","MGT-FB2P","401612","0"
"","mgt-kok","","401612",""
"","mgt-ktnt","MGT-KTNT","100204","0"
"","mgt-papa","MGT-PAPA","212401","0"
"","mgt-rass","MGT-RASS","212401","0"
"","mgt-rass2","MGT-RASS","212401","0"
"","mgt-tsu","","212401",""
"","mgt-wset"," ","212401",""
"","mgt_b"," ","212401",""
"","mgt_jitan","","212401",""
"","mgt_ma1","USMGDTAB","212401","2"
"","mgt_mb1","USMGDTBB","212401","0"
"","mgt_per","","212401",""
"","mgt_raku","","212401",""
"","mgt_t"," ","212401",""
"","mgt_test","","212401","0"
"","mgt_wake_k","MGTB-WKB","212401","0"
"","mgt_wake_s","MGTB-WST","212401","0"
"","mgt_wb","","212401",""
"","mgtcf4pb","MGTCF4PB","212401","0"
"","mgtdb","","212401",""
"","mgth-198","MGTH-149","212401","99987"
"","mgth-198_1219","RAK-MGTH","212401","99973"
"","mgth-198_1219a","RAK-MGTH","212401","99987"
"","mgth-3x1","MGTH-3X2","212401","99999"
"","mgthbest","MGTH-179","212401","99988"
"","mgthcros","MGTHCROS","100204","99995"
"","mgthflat","MGTHFLAT","100204","99999"
"","mgthfrws","MGTHFRWS","566118","99999"
"","mgtxh"," ","212401",""
"","mgtxh-copy","","212401",""
"","mgtxh-test","","212401",""
"","mgtxh-wb","","212401",""
"","mint-nds","MINT-NDX","562638","0"
"","misb-1x","","204692",""
"","misb-2x","","204692",""
"","mnr-a---","MNR-A---","507843","0"
"","mnr-sb--","MNR-SB--","507843","0"
"","mnr-sb-kago","MNR-A---.","507843","0"
"","mnrc-b--","MNRC-B--","507843","0"
"","mnrs-b--","MNRS-B--","507843","0"
"","mns-aaaa","MNS-AAAA","507843","0"
"","mop","","101839",""
"","mop-1","MOP-SPEV","401612","0"
"","mop-10401","","401612",""
"","mop-1sptest","","401612","0"
"","mop-1test","","401612",""
"","mop-3s","MOP-XNTV","401612","0"
"","mop-3s0401","","401612",""
"","mop-3stest","","401612",""
"","mop-dstr","MOP-DSTR","100181","0"
"","mop-nmfc","MOP-NMFC","100181","99997"
"","mop-p","MOP-P","100181","99983"
"","mop-p6","MOP-P6","100181","99996"
"","mop-p9","MOP-P9","100181","99998"
"","mop-pro_1612","","565105","0"
"","mop-sss","MOP-RATV","401612","20"
"","mop-tray","MOP-TRAY","401612","99998"
"","mop-vsnx","MOP-N6HA","401612","0"
"","mop-vsnx0401","","401612",""
"","mop-vsnxtest","","401612",""
"","mop_1612","","401612","1"
"","mxc","MXC-N1XX","100985","0"
"","ncd-nxxx","NCD-NXXX","101836","13"
"","ncdm","NCDM980R","100796","99943"
"","ncdm_1712_a","RAK-NCDM","100796","9991"
"","ncdm_1712_b","RAK-NCDM","100796","9985"
"","ncdm_1712_c","RAK-NCDM","100796","9990"
"","ncdm_1712_d","RAK-NCDM","100796","9989"
"","ncdm_1712_e","RAK-NCDM","100796","9988"
"","ncdm_1712_t","RAK-NCDM","100796","3"
"","ncdm_set","NCDM128R","100796","99988"
"","ncdp","NCDPN3X2","212401","99999"
"","nemuri_tan","TRS-NEMN","508183","99999"
"","neopillow","TRSF-KNE","205582","99999"
"","ngw","","302623",""
"","ngw-cover","","101888",""
"","ngw-cset","NGW","302623",""
"","ngw-foc","","302623",""
"","ngw-m","","302623",""
"","ngw-mat","","302623",""
"","ngw-mat-m","","302623",""
"","ngw-mat2","","302623",""
"","ngw-rmat","NGW-NMAT","101888","99998"
"","ngw-rmat_up","NGWNMATN","101888","99996"
"","ngw-smat","NGW-NOMT","101888","99996"
"","ngw-tanita","","302623",""
"","ngw_1712","","302623",""
"","ngw_1712_a","","302623",""
"","ngw_30m","","302623",""
"","ngw_ma1","","302623",""
"","ngw_mb1","","302623",""
"","ngw_out17"," ","302623",""
"","ngw_out17_b"," ","302623",""
"","ngw_red","NGWNRXNR","302623","99283"
"","ngwb_bh17","FK-NNGWB","302623","58"
"","ngwp_bh17","FK-NNGWP","302623","66"
"","nicb_1712_t","RAK-NICB","101886","270"
"","nice-anc","","101888",""
"","nice-handle","","204690",""
"","nice-mat","","204690",""
"","nice6nrx","","204690",""
"","nice_ma1","","204695",""
"","nicebrm","NICE-BRM","101888","99977"
"","nicenst","NICE-NST","101888","0"
"","nja-dwxx","NJA-DBXX","212417","0"
"","nja-dxx2","NJA-D3XX","212417","0"
"","nja-mc","NJA-MC","212416","0"
"","nja-nbld","NJA-NBLD","100204","0"
"","nja-npld","NJA-NPLD","212416","0"
"","nja-tc","NJA-TC","212416","0"
"","njau-recipe","NJAUMRES","212401","99997"
"","njaumner","NJAUMNET","212401","0"
"","nmg","NMG-NXXX","216027","99996"
"","nof","NOF-148X","215927","99995"
"","nof-26","NOF-2626","215927","99999"
"","nof-m","NOF-158X","215927","99999"
"","nof-m-set","NOF-208X","215927","99997"
"","nof-normal","NOF-XXXX","215927","99999"
"","nof-set","NOF-198X","215927","99996"
